"행정구역","2021년01월_계_총인구수","2021년01월_계_연령구간인구수","2021년01월_계_0~9세","2021년01월_계_10~19세","2021년01월_계_20~29세","2021년01월_계_30~39세","2021년01월_계_40~49세","2021년01월_계_50~59세","2021년01월_계_60~69세","2021년01월_계_70~79세","2021년01월_계_80~89세","2021년01월_계_90~99세","2021년01월_계_100세 이상","2021년01월_남_총인구수","2021년01월_남_연령구간인구수","2021년01월_남_0~9세","2021년01월_남_10~19세","2021년01월_남_20~29세","2021년01월_남_30~39세","2021년01월_남_40~49세","2021년01월_남_50~59세","2021년01월_남_60~69세","2021년01월_남_70~79세","2021년01월_남_80~89세","2021년01월_남_90~99세","2021년01월_남_100세 이상","2021년01월_여_총인구수","2021년01월_여_연령구간인구수","2021년01월_여_0~9세","2021년01월_여_10~19세","2021년01월_여_20~29세","2021년01월_여_30~39세","2021년01월_여_40~49세","2021년01월_여_50~59세","2021년01월_여_60~69세","2021년01월_여_70~79세","2021년01월_여_80~89세","2021년01월_여_90~99세","2021년01월_여_100세 이상","2021년02월_계_총인구수","2021년02월_계_연령구간인구수","2021년02월_계_0~9세","2021년02월_계_10~19세","2021년02월_계_20~29세","2021년02월_계_30~39세","2021년02월_계_40~49세","2021년02월_계_50~59세","2021년02월_계_60~69세","2021년02월_계_70~79세","2021년02월_계_80~89세","2021년02월_계_90~99세","2021년02월_계_100세 이상","2021년02월_남_총인구수","2021년02월_남_연령구간인구수","2021년02월_남_0~9세","2021년02월_남_10~19세","2021년02월_남_20~29세","2021년02월_남_30~39세","2021년02월_남_40~49세","2021년02월_남_50~59세","2021년02월_남_60~69세","2021년02월_남_70~79세","2021년02월_남_80~89세","2021년02월_남_90~99세","2021년02월_남_100세 이상","2021년02월_여_총인구수","2021년02월_여_연령구간인구수","2021년02월_여_0~9세","2021년02월_여_10~19세","2021년02월_여_20~29세","2021년02월_여_30~39세","2021년02월_여_40~49세","2021년02월_여_50~59세","2021년02월_여_60~69세","2021년02월_여_70~79세","2021년02월_여_80~89세","2021년02월_여_90~99세","2021년02월_여_100세 이상","2021년03월_계_총인구수","2021년03월_계_연령구간인구수","2021년03월_계_0~9세","2021년03월_계_10~19세","2021년03월_계_20~29세","2021년03월_계_30~39세","2021년03월_계_40~49세","2021년03월_계_50~59세","2021년03월_계_60~69세","2021년03월_계_70~79세","2021년03월_계_80~89세","2021년03월_계_90~99세","2021년03월_계_100세 이상","2021년03월_남_총인구수","2021년03월_남_연령구간인구수","2021년03월_남_0~9세","2021년03월_남_10~19세","2021년03월_남_20~29세","2021년03월_남_30~39세","2021년03월_남_40~49세","2021년03월_남_50~59세","2021년03월_남_60~69세","2021년03월_남_70~79세","2021년03월_남_80~89세","2021년03월_남_90~99세","2021년03월_남_100세 이상","2021년03월_여_총인구수","2021년03월_여_연령구간인구수","2021년03월_여_0~9세","2021년03월_여_10~19세","2021년03월_여_20~29세","2021년03월_여_30~39세","2021년03월_여_40~49세","2021년03월_여_50~59세","2021년03월_여_60~69세","2021년03월_여_70~79세","2021년03월_여_80~89세","2021년03월_여_90~99세","2021년03월_여_100세 이상","2021년04월_계_총인구수","2021년04월_계_연령구간인구수","2021년04월_계_0~9세","2021년04월_계_10~19세","2021년04월_계_20~29세","2021년04월_계_30~39세","2021년04월_계_40~49세","2021년04월_계_50~59세","2021년04월_계_60~69세","2021년04월_계_70~79세","2021년04월_계_80~89세","2021년04월_계_90~99세","2021년04월_계_100세 이상","2021년04월_남_총인구수","2021년04월_남_연령구간인구수","2021년04월_남_0~9세","2021년04월_남_10~19세","2021년04월_남_20~29세","2021년04월_남_30~39세","2021년04월_남_40~49세","2021년04월_남_50~59세","2021년04월_남_60~69세","2021년04월_남_70~79세","2021년04월_남_80~89세","2021년04월_남_90~99세","2021년04월_남_100세 이상","2021년04월_여_총인구수","2021년04월_여_연령구간인구수","2021년04월_여_0~9세","2021년04월_여_10~19세","2021년04월_여_20~29세","2021년04월_여_30~39세","2021년04월_여_40~49세","2021년04월_여_50~59세","2021년04월_여_60~69세","2021년04월_여_70~79세","2021년04월_여_80~89세","2021년04월_여_90~99세","2021년04월_여_100세 이상","2021년05월_계_총인구수","2021년05월_계_연령구간인구수","2021년05월_계_0~9세","2021년05월_계_10~19세","2021년05월_계_20~29세","2021년05월_계_30~39세","2021년05월_계_40~49세","2021년05월_계_50~59세","2021년05월_계_60~69세","2021년05월_계_70~79세","2021년05월_계_80~89세","2021년05월_계_90~99세","2021년05월_계_100세 이상","2021년05월_남_총인구수","2021년05월_남_연령구간인구수","2021년05월_남_0~9세","2021년05월_남_10~19세","2021년05월_남_20~29세","2021년05월_남_30~39세","2021년05월_남_40~49세","2021년05월_남_50~59세","2021년05월_남_60~69세","2021년05월_남_70~79세","2021년05월_남_80~89세","2021년05월_남_90~99세","2021년05월_남_100세 이상","2021년05월_여_총인구수","2021년05월_여_연령구간인구수","2021년05월_여_0~9세","2021년05월_여_10~19세","2021년05월_여_20~29세","2021년05월_여_30~39세","2021년05월_여_40~49세","2021년05월_여_50~59세","2021년05월_여_60~69세","2021년05월_여_70~79세","2021년05월_여_80~89세","2021년05월_여_90~99세","2021년05월_여_100세 이상","2021년06월_계_총인구수","2021년06월_계_연령구간인구수","2021년06월_계_0~9세","2021년06월_계_10~19세","2021년06월_계_20~29세","2021년06월_계_30~39세","2021년06월_계_40~49세","2021년06월_계_50~59세","2021년06월_계_60~69세","2021년06월_계_70~79세","2021년06월_계_80~89세","2021년06월_계_90~99세","2021년06월_계_100세 이상","2021년06월_남_총인구수","2021년06월_남_연령구간인구수","2021년06월_남_0~9세","2021년06월_남_10~19세","2021년06월_남_20~29세","2021년06월_남_30~39세","2021년06월_남_40~49세","2021년06월_남_50~59세","2021년06월_남_60~69세","2021년06월_남_70~79세","2021년06월_남_80~89세","2021년06월_남_90~99세","2021년06월_남_100세 이상","2021년06월_여_총인구수","2021년06월_여_연령구간인구수","2021년06월_여_0~9세","2021년06월_여_10~19세","2021년06월_여_20~29세","2021년06월_여_30~39세","2021년06월_여_40~49세","2021년06월_여_50~59세","2021년06월_여_60~69세","2021년06월_여_70~79세","2021년06월_여_80~89세","2021년06월_여_90~99세","2021년06월_여_100세 이상"
"경기도  (4100000000)","13,449,499","13,449,499","1,140,854","1,327,712","1,809,285","1,906,582","2,300,938","2,239,200","1,548,037","768,814","350,794","52,908","4,375","6,765,862","6,765,862","584,069","682,503","952,644","982,309","1,169,698","1,134,692","769,505","348,924","127,700","12,643","1,175","6,683,637","6,683,637","556,785","645,209","856,641","924,273","1,131,240","1,104,508","778,532","419,890","223,094","40,265","3,200","13,471,758","13,471,758","1,137,876","1,326,417","1,809,124","1,904,371","2,304,741","2,244,792","1,562,484","770,026","354,104","53,410","4,413","6,777,066","6,777,066","582,577","681,663","952,514","981,717","1,171,899","1,137,406","776,618","349,722","128,993","12,768","1,189","6,694,692","6,694,692","555,299","644,754","856,610","922,654","1,132,842","1,107,386","785,866","420,304","225,111","40,642","3,224","13,465,837","13,465,837","1,134,030","1,325,112","1,811,928","1,902,623","2,298,082","2,241,613","1,574,976","767,454","355,003","52,598","2,418","6,776,866","6,776,866","580,656","681,134","954,223","981,307","1,169,016","1,136,118","783,261","348,918","129,226","12,419","588","6,688,971","6,688,971","553,374","643,978","857,705","921,316","1,129,066","1,105,495","791,715","418,536","225,777","40,179","1,830","13,479,798","13,479,798","1,130,520","1,325,369","1,812,656","1,901,856","2,298,715","2,242,984","1,587,742","767,606","357,086","52,864","2,400","6,784,466","6,784,466","578,890","681,423","954,827","981,229","1,169,273","1,136,978","789,501","349,150","130,158","12,458","579","6,695,332","6,695,332","551,630","643,946","857,829","920,627","1,129,442","1,106,006","798,241","418,456","226,928","40,406","1,821","13,488,910","13,488,910","1,126,119","1,325,034","1,812,032","1,900,224","2,295,083","2,247,171","1,600,436","768,097","359,388","53,011","2,315","6,789,327","6,789,327","576,706","681,245","954,382","980,791","1,167,514","1,139,132","795,828","349,523","131,185","12,462","559","6,699,583","6,699,583","549,413","643,789","857,650","919,433","1,127,569","1,108,039","804,608","418,574","228,203","40,549","1,756","13,500,688","13,500,688","1,122,836","1,325,609","1,810,989","1,899,205","2,296,204","2,246,038","1,614,361","768,438","361,517","53,180","2,311","6,795,088","6,795,088","574,897","681,461","953,842","980,546","1,168,087","1,138,575","802,781","349,795","132,036","12,513","555","6,705,600","6,705,600","547,939","644,148","857,147","918,659","1,128,117","1,107,463","811,580","418,643","229,481","40,667","1,756"
"경기도 경기도 수원시 (4111000000)","1,185,741","1,185,741","96,331","118,004","186,382","178,182","202,513","196,509","121,665","56,690","25,134","4,007","324","596,918","596,918","49,709","61,039","98,178","92,564","102,029","98,106","60,163","25,297","8,830","919","84","588,823","588,823","46,622","56,965","88,204","85,618","100,484","98,403","61,502","31,393","16,304","3,088","240","1,186,273","1,186,273","95,749","117,740","186,260","177,803","202,518","196,855","122,853","56,741","25,385","4,038","331","597,254","597,254","49,401","60,900","98,121","92,406","102,133","98,229","60,757","25,360","8,932","928","87","589,019","589,019","46,348","56,840","88,139","85,397","100,385","98,626","62,096","31,381","16,453","3,110","244","1,185,984","1,185,984","95,345","117,788","186,757","177,670","201,650","196,496","124,098","56,525","25,500","3,958","197","597,390","597,390","49,202","60,988","98,404","92,437","101,710","98,074","61,355","25,305","8,969","900","46","588,594","588,594","46,143","56,800","88,353","85,233","99,940","98,422","62,743","31,220","16,531","3,058","151","1,185,532","1,185,532","94,805","117,430","186,516","177,506","201,444","196,348","125,117","56,593","25,609","3,965","199","597,136","597,136","48,905","60,760","98,254","92,457","101,582","98,028","61,817","25,359","9,032","895","47","588,396","588,396","45,900","56,670","88,262","85,049","99,862","98,320","63,300","31,234","16,577","3,070","152","1,184,922","1,184,922","94,269","116,984","186,314","177,419","200,875","196,365","126,204","56,583","25,749","3,961","199","596,759","596,759","48,615","60,534","98,045","92,536","101,240","98,039","62,352","25,360","9,107","885","46","588,163","588,163","45,654","56,450","88,269","84,883","99,635","98,326","63,852","31,223","16,642","3,076","153","1,184,210","1,184,210","93,800","116,656","185,985","177,224","200,644","196,011","127,318","56,507","25,909","3,951","205","596,269","596,269","48,341","60,323","97,866","92,484","101,025","97,850","62,958","25,350","9,142","884","46","587,941","587,941","45,459","56,333","88,119","84,740","99,619","98,161","64,360","31,157","16,767","3,067","159"
"경기도 경기도 수원시 장안구 (4111100000)","273,324","273,324","18,132","28,542","43,862","32,590","45,141","49,257","31,033","15,811","7,583","1,283","90","137,599","137,599","9,357","14,878","23,999","17,010","22,307","24,695","15,298","6,978","2,735","321","21","135,725","135,725","8,775","13,664","19,863","15,580","22,834","24,562","15,735","8,833","4,848","962","69","272,823","272,823","17,934","28,366","43,782","32,450","44,986","49,183","31,294","15,809","7,646","1,282","91","137,348","137,348","9,244","14,789","23,952","16,956","22,262","24,627","15,427","6,989","2,758","322","22","135,475","135,475","8,690","13,577","19,830","15,494","22,724","24,556","15,867","8,820","4,888","960","69","271,918","271,918","17,736","28,483","43,937","32,202","44,576","48,786","31,515","15,717","7,649","1,255","62","137,079","137,079","9,147","14,945","24,073","16,856","22,075","24,418","15,534","6,938","2,767","313","13","134,839","134,839","8,589","13,538","19,864","15,346","22,501","24,368","15,981","8,779","4,882","942","49","271,170","271,170","17,609","28,305","43,729","32,149","44,353","48,647","31,703","15,698","7,661","1,255","61","136,718","136,718","9,071","14,853","23,968","16,850","21,996","24,322","15,626","6,931","2,780","307","14","134,452","134,452","8,538","13,452","19,761","15,299","22,357","24,325","16,077","8,767","4,881","948","47","270,807","270,807","17,475","28,134","43,624","32,091","44,174","48,630","31,983","15,688","7,696","1,251","61","136,498","136,498","8,981","14,756","23,898","16,862","21,897","24,317","15,743","6,925","2,799","305","15","134,309","134,309","8,494","13,378","19,726","15,229","22,277","24,313","16,240","8,763","4,897","946","46","270,373","270,373","17,338","27,937","43,510","32,002","44,077","48,542","32,280","15,661","7,719","1,245","62","136,189","136,189","8,896","14,633","23,815","16,833","21,796","24,259","15,917","6,921","2,799","305","15","134,184","134,184","8,442","13,304","19,695","15,169","22,281","24,283","16,363","8,740","4,920","940","47"
"경기도 경기도 수원시 권선구 (4111300000)","368,686","368,686","32,303","33,414","54,418","58,003","61,702","62,014","40,467","17,532","7,565","1,172","96","186,125","186,125","16,649","17,388","28,419","30,280","31,922","30,543","19,996","8,020","2,625","255","28","182,561","182,561","15,654","16,026","25,999","27,723","29,780","31,471","20,471","9,512","4,940","917","68","368,157","368,157","32,052","33,260","54,212","57,652","61,652","62,085","40,818","17,509","7,637","1,183","97","185,850","185,850","16,511","17,290","28,342","30,086","31,924","30,564","20,185","8,012","2,649","258","29","182,307","182,307","15,541","15,970","25,870","27,566","29,728","31,521","20,633","9,497","4,988","925","68","366,553","366,553","31,681","33,140","54,026","57,280","61,192","61,860","41,094","17,433","7,650","1,146","51","185,162","185,162","16,322","17,224","28,280","29,957","31,701","30,468","20,318","7,986","2,642","251","13","181,391","181,391","15,359","15,916","25,746","27,323","29,491","31,392","20,776","9,447","5,008","895","38","365,778","365,778","31,392","33,028","53,874","56,995","61,108","61,656","41,424","17,435","7,660","1,154","52","184,768","184,768","16,171","17,157","28,193","29,841","31,635","30,412","20,456","7,990","2,648","252","13","181,010","181,010","15,221","15,871","25,681","27,154","29,473","31,244","20,968","9,445","5,012","902","39","365,384","365,384","31,224","32,926","53,715","56,961","60,910","61,568","41,762","17,415","7,698","1,153","52","184,566","184,566","16,108","17,091","28,092","29,839","31,509","30,377","20,631","7,990","2,667","249","13","180,818","180,818","15,116","15,835","25,623","27,122","29,401","31,191","21,131","9,425","5,031","904","39","365,208","365,208","31,084","32,870","53,594","56,859","60,901","61,362","42,164","17,406","7,754","1,158","56","184,469","184,469","16,035","17,055","28,060","29,779","31,476","30,259","20,869","7,993","2,679","251","13","180,739","180,739","15,049","15,815","25,534","27,080","29,425","31,103","21,295","9,413","5,075","907","43"
"경기도 경기도 수원시 팔달구 (4111500000)","175,098","175,098","9,380","13,777","29,052","24,758","27,261","30,525","22,667","11,919","4,942","718","99","88,300","88,300","4,761","7,051","15,097","13,451","14,132","15,475","11,063","5,281","1,786","177","26","86,798","86,798","4,619","6,726","13,955","11,307","13,129","15,050","11,604","6,638","3,156","541","73","177,307","177,307","9,667","13,959","29,399","25,211","27,636","30,670","22,939","11,983","5,013","729","101","89,461","89,461","4,931","7,163","15,242","13,695","14,343","15,552","11,193","5,312","1,823","180","27","87,846","87,846","4,736","6,796","14,157","11,516","13,293","15,118","11,746","6,671","3,190","549","74","180,743","180,743","10,247","14,144","29,951","26,218","27,977","31,003","23,408","11,975","5,062","713","45","91,240","91,240","5,226","7,230","15,509","14,227","14,499","15,744","11,444","5,342","1,835","172","12","89,503","89,503","5,021","6,914","14,442","11,991","13,478","15,259","11,964","6,633","3,227","541","33","182,377","182,377","10,361","14,203","30,218","26,591","28,136","31,205","23,721","12,064","5,127","706","45","92,024","92,024","5,261","7,250","15,614","14,437","14,581","15,854","11,591","5,398","1,856","170","12","90,353","90,353","5,100","6,953","14,604","12,154","13,555","15,351","12,130","6,666","3,271","536","33","182,844","182,844","10,352","14,133","30,394","26,715","28,088","31,244","23,912","12,069","5,189","702","46","92,228","92,228","5,252","7,218","15,682","14,497","14,554","15,870","11,699","5,402","1,876","167","11","90,616","90,616","5,100","6,915","14,712","12,218","13,534","15,374","12,213","6,667","3,313","535","35","183,123","183,123","10,373","14,115","30,465","26,773","28,091","31,203","24,089","12,053","5,215","699","47","92,354","92,354","5,252","7,212","15,705","14,533","14,559","15,854","11,772","5,402","1,887","167","11","90,769","90,769","5,121","6,903","14,760","12,240","13,532","15,349","12,317","6,651","3,328","532","36"
"경기도 경기도 수원시 영통구 (4111700000)","368,633","368,633","36,516","42,271","59,050","62,831","68,409","54,713","27,498","11,428","5,044","834","39","184,894","184,894","18,942","21,722","30,663","31,823","33,668","27,393","13,806","5,018","1,684","166","9","183,739","183,739","17,574","20,549","28,387","31,008","34,741","27,320","13,692","6,410","3,360","668","30","367,986","367,986","36,096","42,155","58,867","62,490","68,244","54,917","27,802","11,440","5,089","844","42","184,595","184,595","18,715","21,658","30,585","31,669","33,604","27,486","13,952","5,047","1,702","168","9","183,391","183,391","17,381","20,497","28,282","30,821","34,640","27,431","13,850","6,393","3,387","676","33","366,770","366,770","35,681","42,021","58,843","61,970","67,905","54,847","28,081","11,400","5,139","844","39","183,909","183,909","18,507","21,589","30,542","31,397","33,435","27,444","14,059","5,039","1,725","164","8","182,861","182,861","17,174","20,432","28,301","30,573","34,470","27,403","14,022","6,361","3,414","680","31","366,207","366,207","35,443","41,894","58,695","61,771","67,847","54,840","28,269","11,396","5,161","850","41","183,626","183,626","18,402","21,500","30,479","31,329","33,370","27,440","14,144","5,040","1,748","166","8","182,581","182,581","17,041","20,394","28,216","30,442","34,477","27,400","14,125","6,356","3,413","684","33","365,887","365,887","35,218","41,791","58,581","61,652","67,703","54,923","28,547","11,411","5,166","855","40","183,467","183,467","18,274","21,469","30,373","31,338","33,280","27,475","14,279","5,043","1,765","164","7","182,420","182,420","16,944","20,322","28,208","30,314","34,423","27,448","14,268","6,368","3,401","691","33","365,506","365,506","35,005","41,734","58,416","61,590","67,575","54,904","28,785","11,387","5,221","849","40","183,257","183,257","18,158","21,423","30,286","31,339","33,194","27,478","14,400","5,034","1,777","161","7","182,249","182,249","16,847","20,311","28,130","30,251","34,381","27,426","14,385","6,353","3,444","688","33"
"경기도 경기도 성남시 (4113000000)","939,774","939,774","68,301","87,577","132,058","136,762","156,911","155,826","114,432","58,135","25,087","4,178","507","465,278","465,278","34,941","44,885","67,737","69,451","77,406","77,841","56,039","26,467","9,323","1,051","137","474,496","474,496","33,360","42,692","64,321","67,311","79,505","77,985","58,393","31,668","15,764","3,127","370","938,819","938,819","67,946","87,251","131,574","136,321","156,564","155,843","115,128","58,252","25,208","4,222","510","464,828","464,828","34,774","44,727","67,450","69,278","77,309","77,844","56,351","26,490","9,407","1,057","141","473,991","473,991","33,172","42,524","64,124","67,043","79,255","77,999","58,777","31,762","15,801","3,165","369","934,308","934,308","67,599","86,844","131,115","135,757","155,458","154,987","115,374","57,793","25,081","4,090","210","462,773","462,773","34,573","44,550","67,166","69,070","76,761","77,475","56,487","26,297","9,327","1,014","53","471,535","471,535","33,026","42,294","63,949","66,687","78,697","77,512","58,887","31,496","15,754","3,076","157","932,867","932,867","67,266","86,510","130,689","135,421","155,085","154,722","116,031","57,641","25,187","4,118","197","462,086","462,086","34,397","44,356","67,012","68,933","76,514","77,390","56,787","26,239","9,399","1,013","46","470,781","470,781","32,869","42,154","63,677","66,488","78,571","77,332","59,244","31,402","15,788","3,105","151","931,626","931,626","66,940","86,276","130,218","135,138","154,427","154,804","116,606","57,601","25,277","4,141","198","461,504","461,504","34,233","44,231","66,751","68,799","76,205","77,433","57,102","26,216","9,460","1,026","48","470,122","470,122","32,707","42,045","63,467","66,339","78,222","77,371","59,504","31,385","15,817","3,115","150","931,654","931,654","66,921","86,087","129,892","135,347","154,197","154,564","117,383","57,537","25,397","4,133","196","461,565","461,565","34,228","44,111","66,636","68,941","76,070","77,369","57,433","26,177","9,524","1,030","46","470,089","470,089","32,693","41,976","63,256","66,406","78,127","77,195","59,950","31,360","15,873","3,103","150"
"경기도 경기도 성남시 수정구 (4113100000)","241,568","241,568","15,723","17,506","35,164","35,907","37,605","41,184","33,711","17,213","6,372","964","219","122,167","122,167","7,929","8,959","18,539","19,163","19,851","20,942","16,365","7,806","2,315","233","65","119,401","119,401","7,794","8,547","16,625","16,744","17,754","20,242","17,346","9,407","4,057","731","154","241,217","241,217","15,568","17,402","35,099","35,800","37,481","41,092","33,912","17,248","6,420","975","220","122,005","122,005","7,876","8,903","18,477","19,132","19,825","20,913","16,425","7,816","2,340","232","66","119,212","119,212","7,692","8,499","16,622","16,668","17,656","20,179","17,487","9,432","4,080","743","154","238,984","238,984","15,427","17,285","34,975","35,463","37,099","40,636","33,761","17,032","6,325","906","75","120,965","120,965","7,806","8,849","18,384","18,952","19,644","20,700","16,375","7,740","2,284","207","24","118,019","118,019","7,621","8,436","16,591","16,511","17,455","19,936","17,386","9,292","4,041","699","51","238,336","238,336","15,358","17,180","34,842","35,391","36,958","40,467","33,903","16,935","6,354","889","59","120,625","120,625","7,774","8,787","18,328","18,913","19,556","20,608","16,438","7,705","2,305","194","17","117,711","117,711","7,584","8,393","16,514","16,478","17,402","19,859","17,465","9,230","4,049","695","42","237,729","237,729","15,310","17,134","34,667","35,310","36,766","40,334","34,049","16,855","6,365","880","59","120,292","120,292","7,751","8,763","18,225","18,841","19,434","20,566","16,543","7,639","2,316","196","18","117,437","117,437","7,559","8,371","16,442","16,469","17,332","19,768","17,506","9,216","4,049","684","41","236,873","236,873","15,211","17,086","34,528","35,158","36,564","40,127","34,076","16,805","6,381","878","59","119,857","119,857","7,706","8,724","18,169","18,782","19,309","20,475","16,546","7,612","2,319","198","17","117,016","117,016","7,505","8,362","16,359","16,376","17,255","19,652","17,530","9,193","4,062","680","42"
"경기도 경기도 성남시 중원구 (4113300000)","216,142","216,142","13,176","16,494","31,200","31,128","32,875","38,171","30,941","15,366","5,724","879","188","109,424","109,424","6,757","8,533","16,137","16,744","17,290","19,268","15,372","7,058","2,037","176","52","106,718","106,718","6,419","7,961","15,063","14,384","15,585","18,903","15,569","8,308","3,687","703","136","216,128","216,128","13,107","16,427","31,126","31,116","32,848","38,085","31,152","15,402","5,783","892","190","109,410","109,410","6,718","8,499","16,090","16,742","17,286","19,237","15,479","7,069","2,057","181","52","106,718","106,718","6,389","7,928","15,036","14,374","15,562","18,848","15,673","8,333","3,726","711","138","215,336","215,336","13,102","16,390","31,040","31,205","32,669","37,845","31,209","15,253","5,751","813","59","109,074","109,074","6,717","8,460","16,059","16,785","17,222","19,143","15,495","7,002","2,025","155","11","106,262","106,262","6,385","7,930","14,981","14,420","15,447","18,702","15,714","8,251","3,726","658","48","215,314","215,314","13,082","16,324","30,977","31,205","32,661","37,757","31,396","15,248","5,776","827","61","109,100","109,100","6,709","8,420","16,051","16,777","17,211","19,140","15,589","6,994","2,040","158","11","106,214","106,214","6,373","7,904","14,926","14,428","15,450","18,617","15,807","8,254","3,736","669","50","215,212","215,212","13,018","16,267","30,842","31,204","32,541","37,730","31,602","15,296","5,812","839","61","109,064","109,064","6,666","8,391","15,970","16,796","17,165","19,131","15,688","7,025","2,061","160","11","106,148","106,148","6,352","7,876","14,872","14,408","15,376","18,599","15,914","8,271","3,751","679","50","214,767","214,767","12,926","16,166","30,681","31,154","32,473","37,542","31,813","15,258","5,851","842","61","108,857","108,857","6,611","8,334","15,893","16,800","17,132","19,060","15,765","7,003","2,089","159","11","105,910","105,910","6,315","7,832","14,788","14,354","15,341","18,482","16,048","8,255","3,762","683","50"
"경기도 경기도 성남시 분당구 (4113500000)","482,064","482,064","39,402","53,577","65,694","69,727","86,431","76,471","49,780","25,556","12,991","2,335","100","233,687","233,687","20,255","27,393","33,061","33,544","40,265","37,631","24,302","11,603","4,971","642","20","248,377","248,377","19,147","26,184","32,633","36,183","46,166","38,840","25,478","13,953","8,020","1,693","80","481,474","481,474","39,271","53,422","65,349","69,405","86,235","76,666","50,064","25,602","13,005","2,355","100","233,413","233,413","20,180","27,325","32,883","33,404","40,198","37,694","24,447","11,605","5,010","644","23","248,061","248,061","19,091","26,097","32,466","36,001","46,037","38,972","25,617","13,997","7,995","1,711","77","479,988","479,988","39,070","53,169","65,100","69,089","85,690","76,506","50,404","25,508","13,005","2,371","76","232,734","232,734","20,050","27,241","32,723","33,333","39,895","37,632","24,617","11,555","5,018","652","18","247,254","247,254","19,020","25,928","32,377","35,756","45,795","38,874","25,787","13,953","7,987","1,719","58","479,217","479,217","38,826","53,006","64,870","68,825","85,466","76,498","50,732","25,458","13,057","2,402","77","232,361","232,361","19,914","27,149","32,633","33,243","39,747","37,642","24,760","11,540","5,054","661","18","246,856","246,856","18,912","25,857","32,237","35,582","45,719","38,856","25,972","13,918","8,003","1,741","59","478,685","478,685","38,612","52,875","64,709","68,624","85,120","76,740","50,955","25,450","13,100","2,422","78","232,148","232,148","19,816","27,077","32,556","33,162","39,606","37,736","24,871","11,552","5,083","670","19","246,537","246,537","18,796","25,798","32,153","35,462","45,514","39,004","26,084","13,898","8,017","1,752","59","480,014","480,014","38,784","52,835","64,683","69,035","85,160","76,895","51,494","25,474","13,165","2,413","76","232,851","232,851","19,911","27,053","32,574","33,359","39,629","37,834","25,122","11,562","5,116","673","18","247,163","247,163","18,873","25,782","32,109","35,676","45,531","39,061","26,372","13,912","8,049","1,740","58"
