"행정구역","2022년07월_계_총인구수","2022년07월_계_연령구간인구수","2022년07월_계_0~9세","2022년07월_남_총인구수","2022년07월_남_연령구간인구수","2022년07월_남_0~9세","2022년07월_여_총인구수","2022년07월_여_연령구간인구수","2022년07월_여_0~9세","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0~9세","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0~9세","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0~9세","2022년09월_계_총인구수","2022년09월_계_연령구간인구수","2022년09월_계_0~9세","2022년09월_남_총인구수","2022년09월_남_연령구간인구수","2022년09월_남_0~9세","2022년09월_여_총인구수","2022년09월_여_연령구간인구수","2022년09월_여_0~9세","2022년10월_계_총인구수","2022년10월_계_연령구간인구수","2022년10월_계_0~9세","2022년10월_남_총인구수","2022년10월_남_연령구간인구수","2022년10월_남_0~9세","2022년10월_여_총인구수","2022년10월_여_연령구간인구수","2022년10월_여_0~9세","2022년11월_계_총인구수","2022년11월_계_연령구간인구수","2022년11월_계_0~9세","2022년11월_남_총인구수","2022년11월_남_연령구간인구수","2022년11월_남_0~9세","2022년11월_여_총인구수","2022년11월_여_연령구간인구수","2022년11월_여_0~9세","2022년12월_계_총인구수","2022년12월_계_연령구간인구수","2022년12월_계_0~9세","2022년12월_남_총인구수","2022년12월_남_연령구간인구수","2022년12월_남_0~9세","2022년12월_여_총인구수","2022년12월_여_연령구간인구수","2022년12월_여_0~9세"
"경기도  (4100000000)","13,589,362","1,064,380","1,064,380","6,840,138","544,417","544,417","6,749,224","519,963","519,963","13,590,056","1,059,307","1,059,307","6,840,757","541,936","541,936","6,749,299","517,371","517,371","13,574,353","1,054,380","1,054,380","6,832,856","539,362","539,362","6,741,497","515,018","515,018","13,579,508","1,049,081","1,049,081","6,835,151","536,614","536,614","6,744,357","512,467","512,467","13,583,238","1,044,575","1,044,575","6,836,309","534,370","534,370","6,746,929","510,205","510,205","13,589,432","1,040,954","1,040,954","6,839,276","532,630","532,630","6,750,156","508,324","508,324"
"경기도 경기도 수원시 (4111000000)","1,185,184","88,095","88,095","597,003","45,437","45,437","588,181","42,658","42,658","1,186,961","87,932","87,932","597,881","45,369","45,369","589,080","42,563","42,563","1,188,234","87,748","87,748","598,490","45,269","45,269","589,744","42,479","42,479","1,189,654","87,383","87,383","599,198","45,111","45,111","590,456","42,272","42,272","1,190,368","87,049","87,049","599,508","44,904","44,904","590,860","42,145","42,145","1,190,964","86,779","86,779","599,619","44,755","44,755","591,345","42,024","42,024"
"경기도 경기도 수원시 장안구 (4111100000)","273,174","16,876","16,876","137,513","8,615","8,615","135,661","8,261","8,261","272,638","16,650","16,650","137,269","8,516","8,516","135,369","8,134","8,134","271,779","16,439","16,439","136,804","8,407","8,407","134,975","8,032","8,032","271,305","16,227","16,227","136,511","8,284","8,284","134,794","7,943","7,943","271,012","16,094","16,094","136,427","8,220","8,220","134,585","7,874","7,874","270,524","15,976","15,976","136,095","8,153","8,153","134,429","7,823","7,823"
"경기도 경기도 수원시 권선구 (4111300000)","369,016","29,355","29,355","186,548","15,185","15,185","182,468","14,170","14,170","368,047","29,003","29,003","186,032","14,996","14,996","182,015","14,007","14,007","366,832","28,561","28,561","185,435","14,773","14,773","181,397","13,788","13,788","366,453","28,255","28,255","185,270","14,625","14,625","181,183","13,630","13,630","367,004","28,113","28,113","185,522","14,545","14,545","181,482","13,568","13,568","367,446","27,979","27,979","185,682","14,446","14,446","181,764","13,533","13,533"
"경기도 경기도 수원시 팔달구 (4111500000)","181,416","9,782","9,782","91,356","4,956","4,956","90,060","4,826","4,826","185,563","10,534","10,534","93,446","5,346","5,346","92,117","5,188","5,188","189,267","11,225","11,225","95,361","5,729","5,729","93,906","5,496","5,496","191,423","11,486","11,486","96,475","5,886","5,886","94,948","5,600","5,600","192,225","11,511","11,511","96,826","5,889","5,889","95,399","5,622","5,622","192,610","11,490","11,490","96,997","5,894","5,894","95,613","5,596","5,596"
"경기도 경기도 수원시 영통구 (4111700000)","361,578","32,082","32,082","181,586","16,681","16,681","179,992","15,401","15,401","360,713","31,745","31,745","181,134","16,511","16,511","179,579","15,234","15,234","360,356","31,523","31,523","180,890","16,360","16,360","179,466","15,163","15,163","360,473","31,415","31,415","180,942","16,316","16,316","179,531","15,099","15,099","360,127","31,331","31,331","180,733","16,250","16,250","179,394","15,081","15,081","360,384","31,334","31,334","180,845","16,262","16,262","179,539","15,072","15,072"
"경기도 경기도 성남시 (4113000000)","925,981","63,841","63,841","458,652","32,516","32,516","467,329","31,325","31,325","924,333","63,420","63,420","457,808","32,318","32,318","466,525","31,102","31,102","920,903","62,915","62,915","456,041","32,066","32,066","464,862","30,849","30,849","920,667","62,596","62,596","455,970","31,940","31,940","464,697","30,656","30,656","920,362","62,365","62,365","455,768","31,801","31,801","464,594","30,564","30,564","922,518","62,619","62,619","456,882","31,941","31,941","465,636","30,678","30,678"
"경기도 경기도 성남시 수정구 (4113100000)","234,524","14,586","14,586","118,873","7,354","7,354","115,651","7,232","7,232","234,303","14,463","14,463","118,783","7,305","7,305","115,520","7,158","7,158","233,447","14,330","14,330","118,323","7,239","7,239","115,124","7,091","7,091","232,663","14,104","14,104","117,974","7,151","7,151","114,689","6,953","6,953","232,125","13,988","13,988","117,720","7,091","7,091","114,405","6,897","6,897","230,460","13,774","13,774","116,886","6,993","6,993","113,574","6,781","6,781"
"경기도 경기도 성남시 중원구 (4113300000)","207,526","11,628","11,628","105,105","5,917","5,917","102,421","5,711","5,711","206,386","11,528","11,528","104,530","5,866","5,866","101,856","5,662","5,662","204,894","11,424","11,424","103,769","5,801","5,801","101,125","5,623","5,623","205,893","11,596","11,596","104,258","5,885","5,885","101,635","5,711","5,711","206,211","11,720","11,720","104,312","5,927","5,927","101,899","5,793","5,793","210,505","12,399","12,399","106,470","6,264","6,264","104,035","6,135","6,135"
"경기도 경기도 성남시 분당구 (4113500000)","483,931","37,627","37,627","234,674","19,245","19,245","249,257","18,382","18,382","483,644","37,429","37,429","234,495","19,147","19,147","249,149","18,282","18,282","482,562","37,161","37,161","233,949","19,026","19,026","248,613","18,135","18,135","482,111","36,896","36,896","233,738","18,904","18,904","248,373","17,992","17,992","482,026","36,657","36,657","233,736","18,783","18,783","248,290","17,874","17,874","481,553","36,446","36,446","233,526","18,684","18,684","248,027","17,762","17,762"
