기준연도,시군명,연령대,성별,결제건수,결제금액,결제취소건수,결제취소금액,1회평균결제금액
2023,가평군,10대,남,8409,188845090.0,46.0,4871840.0,22457.0
2023,가평군,10대,여,6584,176605435.0,68.0,1841390.0,26823.0
2023,가평군,20대,남,70363,1545018255.0,728.0,37559999.0,21958.0
2023,가평군,20대,여,55118,1332506645.0,681.0,27996349.0,24176.0
2023,가평군,30대,남,110968,2682234965.0,1382.0,84476317.0,24171.0
2023,가평군,30대,여,99493,2563403916.0,1230.0,54207827.0,25765.0
2023,가평군,40대,남,167399,4188413440.0,1629.0,100770277.0,25021.0
2023,가평군,40대,여,189169,4782432633.0,1909.0,77437079.0,25281.0
2023,가평군,50대,남,190205,4879269120.0,1796.0,109244307.0,25653.0
2023,가평군,50대,여,170268,4780308547.0,1587.0,83345676.0,28075.0
2023,가평군,60대,남,152355,4134346549.0,1711.0,117406963.0,27136.0
2023,가평군,60대,여,139833,3865390398.0,1455.0,78865713.0,27643.0
2023,가평군,70대,남,48784,1409900715.0,680.0,55765030.0,28901.0
2023,가평군,70대,여,33691,879713472.0,326.0,16688410.0,26111.0
2023,가평군,80대 이상,남,6836,197625456.0,77.0,4300360.0,28910.0
2023,가평군,80대 이상,여,4243,140084165.0,38.0,1567980.0,33015.0
2023,가평군,기타,-,91045,2592855508.0,682.0,30353005.0,28479.0
2023,고양시,10대,남,80348,1551565824.0,348.0,15614255.0,19311.0
2023,고양시,10대,여,81511,1638715029.0,460.0,21222796.0,20104.0
2023,고양시,20대,남,620304,9383723031.0,3646.0,88401542.0,15128.0
2023,고양시,20대,여,667522,11422122145.0,5067.0,135259815.0,17111.0
2023,고양시,30대,남,479493,9357411531.0,2491.0,81666844.0,19515.0
2023,고양시,30대,여,659449,15135019922.0,4346.0,178742391.0,22951.0
2023,고양시,40대,남,791743,19760916918.0,4137.0,173208492.0,24959.0
2023,고양시,40대,여,1110201,26524695442.0,6719.0,255538856.0,23892.0
2023,고양시,50대,남,693793,13246234247.0,3453.0,103963707.0,19092.0
2023,고양시,50대,여,777743,14576511726.0,5366.0,139013940.0,18742.0
2023,고양시,60대,남,377377,6249814076.0,2042.0,44203936.0,16561.0
