기준연도,시군명,연령대,성별,결제건수,결제금액,결제취소건수,결제취소금액,1회평균결제금액,총인구,총인구_남,총인구_여,내국인_세대수,내국인_총인구,내국인_남,내국인_여,등록외국인_총인구,등록외국인_남,등록외국인_여
2023,가평군,10대,남,8409,18884.509,46.0,487.184,2.2457,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2023,가평군,10대,여,6584,17660.5435,68.0,184.139,2.6823,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2023,가평군,20대,남,70363,154501.8255,728.0,3755.9999,2.1958,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2023,가평군,20대,여,55118,133250.6645,681.0,2799.6349,2.4176,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2023,가평군,30대,남,110968,268223.4965,1382.0,8447.6317,2.4171,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2023,가평군,30대,여,99493,256340.3916,1230.0,5420.7827,2.5765,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2023,가평군,40대,남,167399,418841.344,1629.0,10077.0277,2.5021,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2023,가평군,40대,여,189169,478243.2633,1909.0,7743.7079,2.5281,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2023,가평군,50대,남,190205,487926.912,1796.0,10924.4307,2.5653,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2023,가평군,50대,여,170268,478030.8547,1587.0,8334.5676,2.8075,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2023,가평군,60대,남,152355,413434.6549,1711.0,11740.6963,2.7136,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2023,가평군,60대,여,139833,386539.0398,1455.0,7886.5713,2.7643,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2023,가평군,70대,남,48784,140990.0715,680.0,5576.503,2.8901,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2023,가평군,70대,여,33691,87971.3472,326.0,1668.841,2.6111,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2023,가평군,80대 이상,남,6836,19762.5456,77.0,430.036,2.891,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2023,가평군,80대 이상,여,4243,14008.4165,38.0,156.798,3.3015,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2022,가평군,10대,남,5784,13781.0151,62.0,224.293,2.3826,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2022,가평군,10대,여,6303,15301.8795,62.0,338.1558,2.4277,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2022,가평군,20대,남,64436,136197.7813,606.0,3306.7667,2.1137,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2022,가평군,20대,여,54689,122818.2078,694.0,2854.3455,2.2458,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2022,가평군,30대,남,110560,260778.2981,1421.0,8703.0663,2.3587,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2022,가평군,30대,여,109079,257221.0897,1295.0,5729.5467,2.3581,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2022,가평군,40대,남,167210,410817.2666,1470.0,9155.2821,2.4569,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2022,가평군,40대,여,205682,499761.8154,1929.0,7325.7428,2.4298,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2022,가평군,50대,남,173077,452069.9724,1606.0,11728.6141,2.612,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2022,가평군,50대,여,167582,444738.2699,1614.0,9075.0496,2.6539,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2022,가평군,60대,남,121845,344981.488,1396.0,11058.9109,2.8313,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2022,가평군,60대,여,122661,340431.5286,1275.0,6732.6052,2.7754,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2022,가평군,70대,남,32853,95880.547,376.0,2683.3798,2.9185,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2022,가평군,70대,여,25506,65789.32,219.0,1202.689,2.5794,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2022,가평군,80대 이상,남,4365,12200.5016,64.0,515.2,2.7951,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2022,가평군,80대 이상,여,3557,11095.1808,30.0,174.721,3.1193,63633.0,32690.0,30943.0,32859.0,62393.0,32133.0,30260.0,1240.0,557.0,683.0
2023,고양시,10대,남,80348,155156.5824,348.0,1561.4255,1.9311,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2023,고양시,10대,여,81511,163871.5029,460.0,2122.2796,2.0104,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2023,고양시,20대,남,620304,938372.3031,3646.0,8840.1542,1.5128,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2023,고양시,20대,여,667522,1142212.2145,5067.0,13525.9815,1.7111,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2023,고양시,30대,남,479493,935741.1531,2491.0,8166.6844,1.9515,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2023,고양시,30대,여,659449,1513501.9922,4346.0,17874.2391,2.2951,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2023,고양시,40대,남,791743,1976091.6918,4137.0,17320.8492,2.4959,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2023,고양시,40대,여,1110201,2652469.5442,6719.0,25553.8856,2.3892,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2023,고양시,50대,남,693793,1324623.4247,3453.0,10396.3707,1.9092,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2023,고양시,50대,여,777743,1457651.1726,5366.0,13901.394,1.8742,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2023,고양시,60대,남,377377,624981.4076,2042.0,4420.3936,1.6561,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2023,고양시,60대,여,347788,633897.5847,2866.0,7220.8506,1.8227,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2023,고양시,70대,남,78932,128715.765,438.0,1128.4785,1.6307,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2023,고양시,70대,여,84154,150575.9389,705.0,1733.8158,1.7893,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2023,고양시,80대 이상,남,17901,31466.8435,120.0,280.6619,1.7578,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2023,고양시,80대 이상,여,17631,31349.8611,108.0,348.498,1.7781,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2022,고양시,10대,남,167208,334259.8621,861.0,3673.2465,1.9991,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2022,고양시,10대,여,159040,349280.9704,1049.0,4686.8647,2.1962,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2022,고양시,20대,남,887348,1298437.0099,5576.0,13250.7814,1.4633,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2022,고양시,20대,여,942628,1588550.7714,7759.0,21173.0972,1.6852,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2022,고양시,30대,남,901579,1768833.4245,5954.0,21526.9658,1.9619,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2022,고양시,30대,여,1273713,2836124.4741,9967.0,41175.8256,2.2267,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2022,고양시,40대,남,1475638,3679283.3945,9247.0,39613.0247,2.4934,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2022,고양시,40대,여,2179411,5235165.8891,15794.0,60926.0186,2.4021,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2022,고양시,50대,남,1152717,2213334.8202,6347.0,19691.3949,1.9201,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2022,고양시,50대,여,1337157,2509380.4933,10154.0,27925.1275,1.8767,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2022,고양시,60대,남,506794,849578.2111,3059.0,7309.3415,1.6764,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2022,고양시,60대,여,485796,912619.3545,4074.0,10975.6371,1.8786,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2022,고양시,70대,남,101185,176039.1119,685.0,1762.152,1.7398,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2022,고양시,70대,여,122957,227537.2605,1064.0,2684.3705,1.8505,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2022,고양시,80대 이상,남,20950,38060.2248,150.0,392.1643,1.8167,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2022,고양시,80대 이상,여,27119,48881.3806,213.0,587.6738,1.8025,1085432.0,529580.0,555852.0,465622.0,1072125.0,522735.0,549390.0,13307.0,6845.0,6462.0
2023,과천시,10대,남,22766,51366.9271,88.0,616.148,2.2563,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,10대,여,17165,47071.8771,99.0,639.893,2.7423,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,20대,남,91106,143933.9202,443.0,1243.988,1.5799,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,20대,여,93546,166446.3426,586.0,1789.7761,1.7793,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,30대,남,147593,280183.3805,864.0,2909.9616,1.8984,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,30대,여,215049,455542.1132,1436.0,5444.9428,2.1183,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,40대,남,212778,584723.6129,1236.0,6518.364,2.748,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,40대,여,293082,754765.9168,2015.0,9665.2806,2.5753,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,50대,남,164113,356201.0888,984.0,3274.0411,2.1705,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,50대,여,216684,449080.0324,1555.0,5600.559,2.0725,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,60대,남,119960,212471.6713,697.0,2156.2273,1.7712,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,60대,여,147242,285791.5886,1265.0,3561.4908,1.941,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,70대,남,31354,58790.2551,248.0,722.8993,1.875,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,70대,여,33196,67944.2668,284.0,984.144,2.0468,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2023,과천시,80대 이상,남,8858,16582.1079,79.0,210.9107,1.872,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
