시군명,기준연도,totalPay
가평군,2021,1709018.0
고양시,2021,22776329.0
과천시,2021,3499016.0
광명시,2021,10231984.0
광주시,2021,16970792.0
구리시,2021,6774979.0
군포시,2021,14279593.0
김포시,2021,0.0
남양주시,2021,18790063.0
동두천시,2021,2076718.0
부천시,2021,24694265.0
성남시,2021,6597537.0
수원시,2021,32086696.0
시흥시,2021,0.0
안산시,2021,25658275.0
안성시,2021,7054511.0
안양시,2021,12938965.0
양주시,2021,5363715.0
양평군,2021,6526196.0
여주시,2021,4058329.0
연천군,2021,1239240.0
오산시,2021,11287370.0
용인시,2021,28349528.0
의왕시,2021,4050723.0
의정부시,2021,9897878.0
이천시,2021,6782911.0
파주시,2021,12454310.0
평택시,2021,14848200.0
포천시,2021,2694826.0
하남시,2021,16311805.0
화성시,2021,32995601.0
가평군,2022,3729533.0
고양시,2022,23362940.0
과천시,2022,4890193.0
광명시,2022,12888470.0
광주시,2022,26401822.0
구리시,2022,10485682.0
군포시,2022,18015966.0
김포시,2022,0.0
남양주시,2022,26457802.0
동두천시,2022,2940920.0
부천시,2022,32460917.0
성남시,2022,7261983.0
수원시,2022,37945657.0
시흥시,2022,0.0
안산시,2022,26937139.0
안성시,2022,8190706.0
안양시,2022,19126604.0
양주시,2022,7742559.0
양평군,2022,8135483.0
여주시,2022,6227660.0
연천군,2022,2143581.0
오산시,2022,9232302.0
용인시,2022,34344709.0
의왕시,2022,5627817.0
의정부시,2022,12250031.0
이천시,2022,13332467.0
파주시,2022,16089442.0
평택시,2022,17232309.0
포천시,2022,4365777.0
하남시,2022,22202766.0
화성시,2022,41328810.0
가평군,2023,3609200.0
고양시,2023,13725100.0
과천시,2023,4074500.0
광명시,2023,14805500.0
광주시,2023,17658000.0
구리시,2023,9441500.0
군포시,2023,12176000.0
김포시,2023,16013500.0
남양주시,2023,25054100.0
동두천시,2023,2345100.0
부천시,2023,26559400.0
성남시,2023,32920900.0
수원시,2023,32224400.0
시흥시,2023,26714100.0
안산시,2023,18043500.0
안성시,2023,8477800.0
안양시,2023,26560800.0
양주시,2023,7388600.0
양평군,2023,7262300.0
여주시,2023,4878900.0
연천군,2023,2279700.0
오산시,2023,6355700.0
용인시,2023,33453000.0
의왕시,2023,3749100.0
의정부시,2023,8614400.0
이천시,2023,12967100.0
파주시,2023,21181600.0
평택시,2023,19989300.0
포천시,2023,2962800.0
하남시,2023,14616600.0
화성시,2023,41837000.0
