시군명,총인구,외국인 비율,결제건수 비율,결제금액 비율,관광객 비율,2024개수,2022개수,증가분,신규가입자수 비율,cluster,pca_x,pca_y
가평군,63361.5,0.0179194574525356,22.322399987687138,57.27391636358465,441.5861228794139,3354.0,3553.0,-199.0,0.14869874517110238,2,3.870231778837768,-0.8230341937299656
고양시,1087880.0,0.011176909703211257,8.560646734212266,17.429995583030195,108.33665905386184,26672.0,27042.0,-370.0,0.05336246753027117,0,-3.808710378186232,-0.05996268759151421
과천시,77692.0,0.0025454868715787285,24.82710131126044,53.93212406381836,249.1049406451584,2032.0,1469.0,563.0,0.23891620241072034,2,3.7651731476042984,-1.1636903306034023
광명시,290251.6666666667,0.01114963304447529,18.83281405481215,46.30121801934049,134.24528404253394,10594.0,8745.0,1849.0,0.17885288946283429,2,1.1614085041209874,-0.6470234353273496
광주시,401753.0,0.029138337389347634,23.428998476608985,57.295088761331634,116.22460886403628,11204.0,11974.0,-770.0,0.17491658292589107,2,1.3264022953544243,-1.1176739870427168
구리시,190731.66666666666,0.007786276436216555,19.776911318460638,49.918577157612276,235.07070344163148,6281.0,6751.0,-470.0,0.1771390985025626,2,2.2864975697295598,-0.6104880468219867
군포시,269377.0,0.021002265337769527,27.54559149248078,57.4794568826319,96.26237054770849,7370.0,8348.0,-978.0,0.0946979509147939,2,1.6173278740645425,-1.180350254942873
김포시,506453.5,0.04191499715519116,15.275824116902662,49.969635781690464,101.08670208160953,14833.0,15668.0,-835.0,0.0755550263113233,1,-0.6248783445515955,0.13024644639099964
남양주시,742948.0,0.01095657640047965,12.816865521637958,35.16399772653671,98.06364724384616,20531.0,20709.0,-178.0,0.07369881779465083,0,-1.913296287223398,-0.4315604444862863
동두천시,94791.33333333333,0.037366688803523986,12.116489616960104,29.450436898506542,98.25076023094304,3308.0,3554.0,-246.0,0.12178496577345148,1,0.4791438965618799,2.179744448337068
부천시,810335.5,0.031213632484979992,18.990936573816064,36.76035091836329,87.69733756814149,26036.0,26742.0,-706.0,0.06846922518964849,0,-2.248326349374186,-1.0480836241295015
성남시,939237.0,0.01587574472272943,7.47418301815933,27.592955738660567,127.15345515404643,18927.0,23588.0,-4661.0,0.0775808071339098,0,-2.568746822112647,0.5572051552465832
수원시,1225151.3333333333,0.028160452059198437,14.159127492097761,30.598422313960956,131.2821540892198,37487.0,35465.0,2022.0,0.11478720310518385,0,-3.808847839022861,-1.8137722400422864
시흥시,548835.6666666666,0.06181975184332723,14.725573985579922,47.64437177895706,96.18162280610359,14727.0,13375.0,1352.0,0.10479171586128648,1,-0.6712574699559302,0.5786394938085997
안산시,686153.0,0.07386364359589404,17.376867277672186,33.99149384850109,115.09513695226354,21302.0,25313.0,-4011.0,0.06949781401964882,0,-1.989476720940048,0.7447019507293786
안성시,201396.33333333334,0.06084458902895668,17.347013557367976,42.52086896600225,178.29114632427215,7662.0,8590.0,-928.0,0.21404564881927166,1,1.439090101798681,1.0776193472586204
안양시,552902.6666666666,0.011239603634033639,16.108718775141753,35.10081741652929,123.2685399164571,16937.0,16178.0,759.0,0.21950064553171542,1,-0.12321598982042165,-0.6506632309561176
양주시,256883.66666666666,0.02954215551853608,11.16722356625049,28.05440257437486,128.02283425785433,9736.0,7895.0,1841.0,0.10728505138194334,1,-0.29376392013163266,1.457617959989113
양평군,124328.0,0.011234963104772578,23.956084672106,59.79736673006068,256.8390230046754,4476.0,4552.0,-76.0,0.16688554812890966,2,3.143870203262753,-1.1610069587698595
여주시,117594.0,0.03240601761265931,17.108269154177833,46.86381725563165,219.57013928376975,4709.0,5102.0,-393.0,0.09984319152113419,2,1.6188567482624119,0.6764602785964805
연천군,43123.666666666664,0.02324582321452637,16.73639577523144,41.81918928414392,207.56698610989898,2169.0,1943.0,226.0,0.17657193243408673,2,2.233608807784689,0.7921149333126296
오산시,238788.5,0.03783807496059369,14.65564419279181,34.63012754349111,119.80327800360762,7052.0,7125.0,-73.0,0.07261904866834876,1,0.07939068150696806,1.3954751254248192
용인시,1093506.6666666667,0.01599551169779411,12.562320523105127,31.24869040857415,126.37110051071342,27909.0,27146.0,763.0,0.11401239610362089,0,-2.823884143992827,-1.122945245584443
의왕시,161833.0,0.006288289575364845,13.898704483459655,29.62640892250656,171.88522295541114,3574.0,3919.0,-345.0,0.16501340542201784,1,1.2416129406000107,1.0131980484936254
의정부시,468978.0,0.010898929845056358,10.956611606607074,23.680042397125934,88.22586795682429,13485.0,14337.0,-852.0,0.1063816491398456,1,-1.2258003127852075,0.9028812604685462
이천시,230699.5,0.035925088959615034,19.04905116302666,57.70540282992575,168.42924567430896,8427.0,8433.0,-6.0,0.0831585310070937,2,1.2211987364102406,-0.11595171941600249
파주시,504160.3333333333,0.02387628675328349,14.148007732239885,34.71263318977589,104.9455853290702,15986.0,14784.0,1202.0,0.17200290770867022,1,-0.5280464066716348,0.05985614491608419
평택시,611812.0,0.04416016043383675,11.465497331116811,27.918920346414197,78.45403569386177,28535.0,20078.0,8457.0,0.13621133534028115,3,-2.480278818845092,-0.08049718938701386
포천시,159422.33333333334,0.08222963061720058,10.15285477298447,25.821206761506705,183.01445310549448,6566.0,6962.0,-396.0,0.15241713720069985,1,0.2013518050550766,3.119709995299944
하남시,330376.0,0.007311653516123092,23.015397660383748,56.79943447237028,171.2911262800115,9206.0,9103.0,103.0,0.11423172986195779,2,1.600120782330948,-1.3681232509330288
화성시,953651.6666666666,0.041424937350460794,17.07207027873581,43.75691745451197,100.78887058621883,27663.0,26308.0,1355.0,0.11596288860465265,0,-2.1767560696715256,-1.290643748508144
