userName,content,score,thumbsUpCount,at,sentiment_label
?? “???” ?,시져시져,1,0,2023-11-01 23:06:18,0
아기장갑,최종단계에서 결제완료가 왜 안되요,1,0,2023-07-03 18:23:32,0
이성열,사용내역,1,0,2024-02-04 19:15:39,0
raphael,와이파이로 연결시 연결오류가 발생합니다. 여자친구 폰도 동일한 증상입니다 LTE로는 접근가능합니다,1,0,2023-07-04 21:12:18,0
연수이,해외에서는 실행이 안되나요? 해외출장중이라 지원금 신청하려면 카드발급 받아야하는데 어플자체가 [네트워크연결이 안되어있거나 앱이용이 차단된 환경일수 있습니다.] 보안 오류만뜨고 실행이안됩니다.,1,0,2023-03-23 15:02:44,0
임포스터,진짜 별로임,1,0,2024-02-13 17:53:21,0
느와르,짜증 나서 못써먹겠음... 결제 되던 곳도 결제 안된다고 하는곳이 점점 늘어남... 충전 금액만 사용하고 카드 자를 예정임.,1,1,2022-11-07 10:54:49,0
행복 가득원원남매 소소한 일상,설치가 안됩니다. 폰용량이 넘치는데..ㅜㅜ,1,0,2023-02-06 19:12:01,0
L드래곤,"안전한 전자금융거래를 위해 기기에 설치된 앱 정보 수집, 주의가 필요한 앱 설치여부를 확인.. 설치된 모든 앱 접근 권한 동의해야 쓸 수 있는 쓰레기, 스미싱 어플. 벌레들 하는짓이 뻔하지... 통로를 한곳으로 강제해서 다 털어먹기. 안전한 전자금융거래 개 같은 소리하도 자빠졌네..",1,1,2023-08-30 00:38:57,0
노댕,.UI 바뀐 앱 이후에 지역화폐 가능매장 검색이 안되요..,1,0,2024-04-19 17:51:21,0
임포스터,진짜 별로임,1,0,2024-02-13 17:53:21,0
우치하마다라,겁나 사람 귀찮게 하네 동영상 보고 끝네야지 뭐또 하라는건데 사람 짜증나게 ㅡㅡ,1,0,2023-06-13 16:29:58,0
이재선,접속이 안되는데 머 어쩔?,1,0,2023-02-24 12:30:39,0
김인규,앱업뎃하고나서 도대체왜 푸루같은 쓰레기기능을 내지갑버튼이랑 겹치게해서 들어갈때마다 쓰잘데기1도없는 푸루를 계속봐야하죠? 저거위치좀옮겨요,1,1,2022-10-15 08:58:46,0
장현진,아니 서비스 점검하면 언제까지한다고 공지를해야지 점검만 띨렁 사진올리면 어쩌자는겁니까,1,0,2023-11-22 11:41:16,0
부자일기vlog,오늘 계속 접속이 안되고 먹통인데 왜 이러는건지요???,1,0,2023-02-24 12:26:13,0
양승식,ㅂ윽 ㅣ,1,0,2024-05-24 07:39:17,0
박기운,"일주일간 회원가입을 하려고했으나 시스템오류가 생겨서 가입을 하지 못했습니다. 지원을 받고 적용하려면 이 어플리케이션을 통해서 회원가입을 하고 등록을 하라는데, 가입이 안되는 이 상황은 지원을 받으라는 건지 허물만 있는 건지 모르겠습니다.",1,4,2024-01-02 17:47:36,0
글쎄아무닉네임,쓸수있는 곳도 한정적이고 이딴 걸 왜 등록했나 후회중이다 그냥 버려라,1,1,2022-11-22 18:45:16,0
아기장갑,최종단계에서 결제완료가 왜 안되요,1,0,2023-07-03 18:23:32,0
의정부,경기도에선 고종광무태황제의 개혁으로 인하여 양에서 원으로 화폐가 바뀌었다. 그러나 이 앱은 순종융희효황제의 뜻을 잇지 못한 것 같다. 대한제국의 명예를 수호하라.,1,0,2023-10-26 20:33:01,0
BRIL,데이터 및 캐시 삭제해도 업데이트가 안돼요 삭제후 재설치도 안됩니다. 돈 묶이니까 불쾌하네요,1,0,2024-05-30 07:31:29,0
최병희,지역화폐앱깔고 9월부터 계속 결재안되서 못하고 불편하다,1,0,2023-11-05 08:25:16,0
MS Lee,오류심함,1,0,2024-07-30 08:33:50,0
쭈밍이,고양페이 안되는곳 되는곳 정확히 해주세요 가맹점 찾기 해서 된다고 써있어 가서 고양페이 내밀 었더니 안된다고 하네요 수정 부탁합니다,1,0,2023-05-09 18:07:54,0
김한민,"송산그린시티 서측지구 1단계는 2030년 ~ 2033년, 2단계는 2033년 ~ 2036년, 3단계는 2036년 ~ 2039년에 입주 예정이다.",1,0,2023-09-03 13:39:54,0
jinnie,24일 업데이트후부터 캐시삭제해도 업데이트안됨,1,1,2024-05-30 15:09:18,0
서유라,제가 이미 3년전인가 이 앱에서 전에 비판한 적이 있는데 문제를 고칠 생각이 전혀 보이지 않습니다. 폰을 변경해서 재로그인을 해야하는데 로그인 버튼을 누르면 사람 이름을 입력하라고 하는 게 맞습니까? 전의 폰의 이메일이나 핸드폰번호로 로그인할 수 있게 칸을 만들어야죠. 이런 기본적인 것도 못하는게 앱 출시를 하나요? 이름 입력하고 폰 인증을 4번 정도나 했음에도 이미 계정이 있어 그걸로 로그인하려는데 새로 가입하라는 칸이 나오고 그냥 이딴식으로 일할거면 제발 때려치세요.,1,4,2024-03-27 16:43:08,0
예롱이,앱을 실행시키는데 바로 꺼져버립니다. ㅠㅠㅠ 앱이 종료되며 경기지역화폐 앱에 버그가 있어 앱을 종료했습니다. 개발자가 오류 수정본을 제공하면 앱을 업데이트하라는 메시지가 뜹니다.,1,0,2023-08-13 13:52:34,0
최병희,지역화폐앱깔고 9월부터 계속 결재안되서 못하고 불편하다,1,0,2023-11-05 08:25:16,0
김영수,복잡혀,1,0,2023-08-01 19:09:19,0
남홍장선,회원가입을 하려고 하는데 인증문자가 안 옵니다. 스팸문자로 번호가 등록이 안 되어 있는데도 문자가 안 와요.,1,0,2023-06-29 18:52:36,0
WK P,머지 이바보는? 새로운기능 칸엔 새로 짱박은 광고나 꼼수를 알려줘야지.. 뭘 업데이트했는지 알려줘야할꺼 아닌가?!! 담당자는 붙잡고 반성좀 하쟈 안쪽팔리나?? 뭔지도 모르면서 또 반영한다는 입발린 단어로 대응하는척 하시긋지머..;;,1,0,2023-09-02 10:31:58,0
Body Health Design,사용내역 구버전에서는 옆으로 슬라이드 해서 삭제할수있었는데 그 기능이 사라졌어요 기능 추가해주세요!,1,0,2024-02-09 01:25:02,0
김한민,"송산그린시티 서측지구 1단계는 2030년 ~ 2033년, 2단계는 2033년 ~ 2036년, 3단계는 2036년 ~ 2039년에 입주 예정이다.",1,0,2023-09-03 13:39:54,0
친중반민족무리이씨조선(친중반민족자문죄인),대기업을 적대시하는 좌빨화폐입니다,1,1,2023-09-10 03:56:51,0
김우중,푸루좀 없애요 제발 나만그런게 아니라 한달전부터 이미 사람들 문의중이었네 개선한다 매크로 답변만 하지말고 제대로 해결책좀요,1,1,2022-09-25 20:10:33,0
잉여잉,"며칠전에 새로 설치했을때는 잘 됐는데 얼마전에 어플 업데이트 후에 오늘 사용하려고 들어가니까 어플이 안열리네요. 로딩되는 게이지가 안올라가요. 캐시, 데이터 삭제 다 해도 안되구요. 덕분에 배달 결제 못했네요.",1,4,2023-08-13 11:03:21,0
ttlyppqwert Gotxct,이거 난로 싸게 이걸로 산 다음 카드잔액 표시도 남이 헤벼간거처럼 안보이고 돈도 빼돌린 저질앱,1,0,2023-07-27 10:59:06,0
Laby라비,"""걸음 수를 측정 중입니다."" 라고 뜨는 데 설정에서 끄는 법을 아무리 찾으려 해도 없고 챗봇은 엉성하네요. 대체 어떻게 끄나요??",1,0,2024-01-30 08:59:50,0
WK P,머지 이바보는? 새로운기능 칸엔 새로 짱박은 광고나 꼼수를 알려줘야지.. 뭘 업데이트했는지 알려줘야할꺼 아닌가?!! 담당자는 붙잡고 반성좀 하쟈 안쪽팔리나?? 뭔지도 모르면서 또 반영한다는 입발린 단어로 대응하는척 하시긋지머..;;,1,0,2023-09-02 10:31:58,0
최정우,"연결오류... 지난주까지 잘 사용했던거 같은데, 어제부터 연결오류로 접속이 안됨. 몇번을 다시 깔아도 똑같네요. 해외에서 체류중이고, 와이프가 사용하고 있는데,접속이 안되니 충전할 방법도 없고, 홈페이지에서 오류에 대한 해결 방안이 있어야 하는거 아닌가요?",1,79,2023-06-01 13:02:59,0
다람쥐헌 쳇바퀴에 타고파,웹에서는 기능 지원 안하고 앱 설치하게 만드는 이유가 뭔가요?? 이런 사소한 부분에서까지 불쾌하게 만들어주는게 감동이네요,1,0,2023-04-24 19:50:20,0
신지수,왜 회원가입하려고만 하면 시스템오류가 뜨죠,1,0,2024-01-04 10:50:43,0
꼬깔콘,가맹점이 너무 적어졌네요. 혜택 포인트도 너무 적어서 활용도가 없습니다,1,1,2024-06-03 15:18:09,0
