시군명,1회평균결제금액,총인구,관광객수,외국인 비율,결제건수 비율,결제금액 비율,관광객 비율,인구 대비 관광객 수,결제취소건수 비율,결제취소금액 비율,2024개수,2022개수,증가분,신규가입자비율,1인당평균충전금액
가평군,2.59899375,63361.5,27977350.5,0.0179194574525356,22.322399987687138,57.27391636358465,441.5861228794139,0.9977370310987832,0.23247298226983737,1.3133681195528562,3354.0,3553.0,-199.0,0.16777275369638242,50.8121651160405
고양시,1.9220125,1087880.0,117844722.5,0.011176909703211257,8.560646734212266,17.429995583030195,108.33665905386184,0.988885281709497,0.057108807976500274,0.18922757999258494,26672.0,27042.0,-370.0,0.09741546248973539,18.478507739824245
과천시,2.101195833333333,77692.0,19374908.666666668,0.0025454868715787285,24.82710131126044,53.93212406381836,249.1049406451584,0.9959969708842641,0.1982393229013976,0.8428275059592082,2032.0,1469.0,563.0,0.2363306389332235,54.91521220546088
광명시,2.15380625,290251.6666666667,38913472.0,0.01114963304447529,18.83281405481215,46.30121801934049,134.24528404253394,0.9925638957621045,0.1428617689823515,0.828328207382827,10594.0,8745.0,1849.0,0.1787575150300601,42.90794540370138
광주시,2.3040249999999998,401753.0,46690653.666666664,0.029138337389347634,23.428998476608985,57.295088761331634,116.22460886403628,0.991468238579215,0.23724076457671436,1.3921271679790148,11204.0,11974.0,-770.0,0.17392361309892726,52.21201086239555
구리시,2.1698666666666666,190731.66666666666,44827942.666666664,0.007786276436216555,19.776911318460638,49.918577157612276,235.07070344163148,0.9957628566559139,0.12938865511794814,0.5806913510144738,6281.0,6751.0,-470.0,0.1774237803545994,47.732746703483954
군포시,1.9989124999999999,269377.0,25925671.0,0.021002265337769527,27.54559149248078,57.4794568826319,96.26237054770849,0.9897132927421273,0.21336144893683068,1.0209746314853496,7370.0,8348.0,-978.0,0.14221209185144487,55.158207023366266
김포시,2.92408125,506453.5,51195682.5,0.04191499715519116,15.275824116902662,49.969635781690464,101.08670208160953,0.9902044047169597,0.06695404051942813,0.3887747951718417,14833.0,15668.0,-835.0,0.11284463400008064,28.12901965049747
남양주시,2.358934375,742948.0,72855016.0,0.01095657640047965,12.816865521637958,35.16399772653671,98.06364724384616,0.9899051777370814,0.07852617096406544,0.37489990083676206,20531.0,20709.0,-178.0,0.10722239869636457,31.2463442932749
동두천시,2.328133333333333,94791.33333333333,9301416.0,0.037366688803523986,12.116489616960104,29.450436898506542,98.25076023094304,0.9898770088550681,0.10848381172032673,0.5472754019203835,3308.0,3554.0,-246.0,0.12280306919760597,26.388920928073595
부천시,1.843609375,810335.5,71057189.0,0.031213632484979992,18.990936573816064,36.76035091836329,87.69733756814149,0.9887211705466369,0.10752436535246863,0.3503190202542324,26036.0,26742.0,-706.0,0.12003176462095021,35.16257731108494
성남시,3.768966,939237.0,119460399.0,0.01587574472272943,7.47418301815933,27.592955738660567,127.15345515404643,0.9912412540180378,0.030673866636223922,0.21296123272074452,18927.0,23588.0,-4661.0,0.07917865651536705,17.19322563598609
수원시,2.02488125,1225151.3333333333,160892155.66666666,0.028160452059198437,14.159127492097761,30.598422313960956,131.2821540892198,0.9915377516493974,0.10013304578949304,0.3995835884625294,37487.0,35465.0,2022.0,0.11450122896382325,28.40758991950382
시흥시,3.2378354166666665,548835.6666666666,52786016.333333336,0.06181975184332723,14.725573985579922,47.64437177895706,96.18162280610359,0.9897094471529639,0.04624511945003876,0.2777046120093445,14727.0,13375.0,1352.0,0.10445541466180917,32.860851099138756
안산시,1.9199718749999999,686153.0,78963715.0,0.07386364359589404,17.376867277672186,33.99149384850109,115.09513695226354,0.991383866947523,0.12139594939516674,0.3666796690947116,21302.0,25313.0,-4011.0,0.12014424382511382,33.68270730677658
안성시,2.3845375,201396.33333333334,35907113.666666664,0.06084458902895668,17.347013557367976,42.52086896600225,178.29114632427215,0.994418448055344,0.1445658633754147,0.6611206688749577,7662.0,8590.0,-928.0,0.2138105791399711,40.156699310977196
안양시,2.09315,552902.6666666666,68151630.33333333,0.011239603634033639,16.108718775141753,35.10081741652929,123.2685399164571,0.9919276347832943,0.10608892785050893,0.3918055091391401,16937.0,16178.0,759.0,0.21931406854009267,36.184942135686335
양주시,2.283775,256883.66666666666,32882002.333333332,0.02954215551853608,11.16722356625049,28.05440257437486,128.02283425785433,0.9922455793701658,0.09078118590446338,0.43584341254008097,9736.0,7895.0,1841.0,0.10558735406818393,27.523280966351823
양평군,2.4916708333333335,124328.0,31918637.0,0.011234963104772578,23.956084672106,59.79736673006068,256.8390230046754,0.9961164025950039,0.22666122850631285,1.035390929926492,4476.0,4552.0,-76.0,0.1661116830748772,60.54172296934989
여주시,2.631096875,117594.0,25815863.0,0.03240601761265931,17.108269154177833,46.86381725563165,219.57013928376975,0.9954643810080833,0.12397420824287074,0.5234065123110112,4709.0,5102.0,-393.0,0.13621443270915182,47.58493914088587
연천군,2.4203291666666664,43123.666666666664,8949181.333333334,0.02324582321452637,16.73639577523144,41.81918928414392,207.56698610989898,0.9952016603151451,0.17789224587787797,0.7133722518947766,2169.0,1943.0,226.0,0.17668565598163422,48.143780290791604
오산시,2.232225,238788.5,28607520.5,0.03783807496059369,14.65564419279181,34.63012754349111,119.80327800360762,0.9917220148300401,0.12637640083532553,0.6283714773309684,7052.0,7125.0,-73.0,0.12597479917723564,38.874676404712396
용인시,2.2775979166666667,1093506.6666666667,138188031.66666666,0.01599551169779411,12.562320523105127,31.24869040857415,126.37110051071342,0.9921397832141604,0.112123938736021,0.5523679394596895,27909.0,27146.0,763.0,0.11401485130406154,30.865781034714008
의왕시,1.9643604166666666,161833.0,27798070.333333332,0.006288289575364845,13.898704483459655,29.62640892250656,171.88522295541114,0.994195111526245,0.11407044490152889,0.5385594215972956,3574.0,3919.0,-345.0,0.1659282511395492,28.20852978069986
